Gene,Score
VAV1,-2.916
LCP2,-1.8811
CD3G,-2.6665
IL2,-2.6101
CD3D,-2.4943
CD28,-1.7262
ZAP70,-2.7808
CD3E,-1.9643
ITK,-1.4513
CD2,-1.9383
IFNGR2,-0.81108
DEF6,-1.1362
RAC2,-1.1531
CD247,-1.5909
GRAP2,-1.187
PLCG1,-1.0269
VPS35,-0.66985
LAT,-0.89413
VPS29,-0.75477
KIDINS220,-0.88006
TAF13,-0.86301
WAS,-0.98659
TRIM21,-0.79531
TRAF6,-0.73739
RHOG,-0.57695
SHOC2,-0.76584
SULT2B1,-0.44473
TAF2,-0.60729
SCRIB,-0.69826
RIPOR2,-0.5006
BCL10,-0.47398
TAF8,-0.7202
SRP68,-0.70717
SPRYD3,-0.47902
TAF11,-0.44789
PTPRC,-0.86005
TAF4,-0.85363
RPN2,-0.47427
MED23,-0.50573
LOC101927322,-0.64741
ELOF1,-0.41498
SRP19,-0.61578
KIAA1109,-0.38221
PRKD2,-0.55872
TLN1,-0.49084
GRIN2A,-0.21998
KAT7,-0.67819
PI4KB,-0.70488
SH2D1A,-0.33865
SPTLC2,-0.69247
CASD1,-0.050123
ING5,-0.45674
CHUK,-0.38065
NYNRIN,-0.10765
CD6,-0.34569
AQP3,-0.51902
DHX36,-0.2541
NUP37,-0.46375
C7orf66,-0.38965
SRP72,-0.54843
TUBA1C,-0.10361
FITM2,-0.12327
ELOA,-0.33152
ETNK1,-0.3979
NCOR1,-0.51992
PGBD5,-0.16411
FNDC4,0.02447
ATP6V0E1,0.0033909
NDUFB1,-0.10868
CD53,-0.33611
SYK,-0.2695
TXK,-0.21949
SEC61B,-0.36612
NDFIP2,-0.039486
BCL11B,-0.40342
THEMIS,-0.42409
MGAT4C,-0.26501
CHD7,-0.19191
UBA3,-0.34319
HDAC7,-0.36456
ACTR5,-0.53868
OTUD7B,-0.28501
SIN3B,-0.41614
TMX1,-0.38186
OLFM4,-0.23955
PRKAR1A,-0.42524
CA10,0.096083
CCDC151,-0.31333
