Gene,Score
A1BG,-0.161214
A1CF,0.129081
A2M,-0.18934
A2ML1,0.005275
A3GALT2,0.183225
A4GALT,0.15113
A4GNT,0.029995
AAAS,0.130627
AACS,0.19899
AADAC,0.09700375
AADACL2,0.180098
AADACL3,-0.217905
AADACL4,-0.165411
AADAT,0.23516
AAGAB,-0.31044
AAK1,-0.144225
AAMDC,0.01205
AAMP,0.1659475
AANAT,0.14409
AAR2,0.17943
AARD,0.0074185
AARS1,-0.40020835
AARS2,0.03688
AARSD1,-0.007871
AASDH,0.140285
AASDHPPT,0.0825805
AASS,-0.085326
AATF,0.3854245
AATK,-0.027445
ABAT,-0.01351
ABCA1,0.1342295
ABCA10,-0.00779
ABCA12,-0.108835
ABCA13,-0.01498
ABCA2,-0.2907179
ABCA3,0.20382
ABCA4,-0.159105
ABCA5,0.09411
ABCA6,-0.1365005
ABCA7,-0.01946
ABCA8,0.0039675
ABCA9,0.27268896
ABCB1,-0.266345
ABCB10,-0.091724
ABCB11,0.09610045
ABCB4,0.2502
ABCB5,0.0766415
ABCB6,-0.042354
ABCB7,-0.505255
ABCB8,-0.009105
ABCB9,0.21014065
ABCC1,-0.165605
ABCC10,-0.1349245
ABCC11,-0.1653245
ABCC12,-0.09262565
ABCC2,-0.1535965
ABCC3,-0.0762865
ABCC4,0.07494
ABCC5,0.16644
ABCC6,0.307105
ABCC8,0.051595
ABCC9,0.19773
ABCD1,-0.0909125
ABCD2,0.00524
ABCD3,-0.367169
ABCD4,-0.04102
ABCE1,0.359895
ABCF1,-0.105515
ABCF2,-0.1052725
ABCF3,0.0637145
ABCG1,0.04291255
ABCG2,-0.000475
ABCG4,0.25585085
ABCG5,0.103443
ABCG8,-0.038225
ABHD1,0.09580065
ABHD10,-0.083665
ABHD11,0.178475
ABHD12,0.1263665
ABHD12B,-0.01068
ABHD13,0.022985
ABHD14A,-0.0982965
ABHD14B,0.025335
ABHD15,0.054218
ABHD16A,-0.1640935
ABHD16B,-0.002058
ABHD17A,-0.35325
ABHD17B,0.23368
ABHD17C,-0.0872855
ABHD2,-0.033632
ABHD3,0.071691
ABHD4,-0.015138
ABHD5,-0.123051
ABHD6,-0.01869
ABHD8,-0.239638
ABI1,0.0107805
ABI2,-0.22205
ABI3,-0.1086473
ABI3BP,-0.12602566
ABITRAM,0.18748
ABL1,0.0765485
ABL2,0.11353
ABLIM1,-0.095673
ABLIM2,-0.220065
ABLIM3,0.131625
ABO,0.016455
ABR,0.339915
ABRA,0.031534
ABRACL,-0.0995285
ABRAXAS1,0.02837
ABRAXAS2,-0.240335
ABT1,0.0858425
ABTB1,0.0953785
