Gene,Score
A1BG,0.17728
A1CF,-0.014632
A2M,-0.17081
A2ML1,-0.18625
A3GALT2,0.005196
A4GALT,-0.17215
A4GNT,-0.0083859
AAAS,-0.19822
AACS,0.031886
AADAC,0.11915
AADACL2,0.32265
AADACL3,0.021053
AADACL4,0.19274
AADAT,0.021273
AAGAB,0.031206
AAK1,0.036693
AAMDC,-0.28913
AAMP,-0.1705
AANAT,-0.056068
AAR2,-0.057809
AARD,0.080827
AARS1,-0.25492
AARS2,0.011902
AARSD1,0.12874
AASDH,-0.11885
AASDHPPT,0.041661
AASS,0.10561
AATF,0.028047
AATK,-0.14079
ABAT,0.16832
ABCA1,0.16927
ABCA10,0.11828
ABCA12,0.064244
ABCA13,0.14961
ABCA2,-0.1136
ABCA3,-0.025916
ABCA4,0.040945
ABCA5,0.13511
ABCA6,-0.021297
ABCA7,-0.086483
ABCA8,-0.17319
ABCA9,0.28254
ABCB1,0.34192
ABCB10,-0.25226
ABCB11,-0.074746
ABCB4,0.050281
ABCB5,0.15333
ABCB6,0.12271
ABCB7,0.042024
ABCB8,0.04669
ABCB9,-0.069453
ABCC1,0.1346
ABCC10,0.052133
ABCC11,0.0080863
ABCC12,0.068198
ABCC2,-0.058853
ABCC3,-0.17618
ABCC4,0.30528
ABCC5,0.017272
ABCC6,0.22238
ABCC8,-0.060608
ABCC9,-0.081558
ABCD1,0.0770955
ABCD2,-0.019927
ABCD3,0.031449
ABCD4,-0.053477
ABCE1,0.10518
ABCF1,0.4437
ABCF2,0.27488
ABCF3,-0.15585
ABCG1,0.16837
ABCG2,-0.11641
ABCG4,0.035255
ABCG5,-0.010083
ABCG8,0.039282
ABHD1,0.38716
ABHD10,0.00044718
ABHD11,0.042464
ABHD12,-0.18185
ABHD12B,-0.18203
ABHD13,-0.020265
ABHD14A,0.025228
ABHD14B,0.023426
ABHD15,-0.034447
ABHD16A,-0.10441
ABHD16B,0.26433
ABHD17A,0.013844
ABHD17B,0.14864
ABHD17C,0.015411
ABHD18,0.060491
ABHD2,0.078242
ABHD3,0.2047
ABHD4,0.013344
ABHD5,-0.071782
ABHD6,0.10842
ABHD8,0.17383
ABI1,-0.053308
ABI2,0.0688
ABI3,0.11839
ABI3BP,-0.084067
ABITRAM,-0.15199
ABL1,-0.22538
ABL2,0.1238
ABLIM1,0.082308
ABLIM2,-0.19978
ABLIM3,0.080087
ABO,-0.037216
ABR,0.089976
ABRA,-0.10748
ABRACL,-0.03143
ABRAXAS1,-0.059657
ABRAXAS2,-0.01402
ABT1,0.44272
ABTB1,0.29128
ABTB2,0.04193
ABTB3,-0.01911
ACAA1,-0.049272
ACAA2,0.19653
ACACA,0.13191
ACACB,0.13716
ACAD10,0.27269
ACAD11,-0.22812
ACAD8,-0.037136
ACAD9,0.027827
ACADL,0.35126
ACADM,0.13098
ACADS,0.015892
ACADSB,0.19281
ACADVL,-0.01067
ACAN,-0.05752
ACAP1,0.092593
ACAP2,0.064243
ACAP3,-0.066751
ACBD3,0.099883
ACBD4,-0.08497
ACBD5,-0.2586
ACBD6,-0.062216
ACBD7,0.021047
ACCS,0.13437
ACCSL,0.067439
ACD,-0.037009
ACE,-0.14642
ACE2,0.18042
ACER1,0.28385
ACER2,-0.10524
ACER3,0.19283
ACHE,0.10139
ACIN1,-0.23137
ACKR1,0.32177
ACKR2,0.06830934
ACKR3,0.033332
ACKR4,0.050094
ACLY,0.055388
ACMSD,-0.13413
ACO1,-0.165
ACO2,-0.18639
ACOD1,0.24826
ACOT1,0.13234
ACOT11,-0.11796
ACOT12,0.093883
ACOT13,0.024166
ACOT2,0.13631
ACOT4,-0.22599
ACOT6,-0.061165
ACOT7,-0.2627
ACOT8,-0.046975
ACOT9,-0.063275
ACOX1,0.15608
ACOX2,-0.092828
ACOX3,0.16455
ACOXL,0.037934
ACP2,0.22598
ACP3,0.18011
ACP4,-0.11747
ACP5,0.10861
ACP6,0.2422
ACP7,-0.063207
ACR,-0.081748
ACRBP,-0.063628
ACRV1,0.10792
ACSBG1,0.085002
ACSBG2,0.21668
ACSF2,-0.020438
ACSF3,-0.10558
ACSL1,0.25541
ACSL3,0.16946
ACSL4,0.119
ACSL5,-0.0042201
ACSL6,0.16091
ACSM1,0.034523
ACSM2A,-0.047068
ACSM2B,-0.010386
ACSM3,-0.010572
ACSM4,0.054759
ACSM5,0.35985
ACSM6,0.22588
ACSS1,-0.24353
ACSS2,-0.20708
ACSS3,0.012984
ACTA1,0.15461
ACTA2,0.18052
ACTB,-0.061218
ACTBL2,0.13812
ACTC1,-0.068115
ACTG1,-0.041779
ACTG2,0.08724
ACTL10,-0.058063
ACTL6A,-0.10614
ACTL6B,-0.17099
ACTL7A,-0.0003295
ACTL7B,0.030698
ACTL8,-0.061681
ACTL9,0.09746
ACTMAP,0.25823
ACTN1,-0.11112
ACTN2,0.33168
ACTN3,-0.058961
ACTN4,-0.1013
ACTR10,0.11889
ACTR1A,-0.2179
ACTR1B,0.038744
ACTR2,0.093429
ACTR3,-0.069252
ACTR3B,-0.22899
ACTR3C,0.21599
ACTR5,0.096925
ACTR6,-0.042216
ACTR8,-0.026585
ACTRT1,0.033185
ACTRT2,0.17605
ACTRT3,0.19389
ACVR1,-0.1859
ACVR1B,0.0012994
ACVR1C,0.063107
ACVR2A,-0.095891
ACVR2B,-0.14188
ACVRL1,-0.30184
ACY1,-0.16655
ACY3,0.24804
ACYP1,-0.067116
ACYP2,0.075183
ADA,0.08722
ADAD1,-0.20997
ADAD2,0.10481
ADAL,0.31015
ADAM10,-0.053825
ADAM11,-0.14567
ADAM12,-0.011746
ADAM15,0.11703
ADAM17,-0.014907
ADAM18,-0.145
ADAM19,-0.044615
ADAM2,0.13998
ADAM20,0.11491
ADAM21,0.14547
ADAM22,0.091855
ADAM28,-0.0073285
ADAM29,-0.16037
ADAM30,0.079946
ADAM32,-0.059211
ADAM33,0.096845
ADAM7,0.074945
ADAM8,0.11988
ADAM9,0.081728
ADAMDEC1,-0.088178
ADAMTS1,-0.10041
ADAMTS10,0.027123
ADAMTS12,-0.14421
ADAMTS13,-0.068532
ADAMTS14,-0.14386
ADAMTS15,0.1399
ADAMTS16,-0.10856
ADAMTS17,-0.0319
ADAMTS18,-0.082132
ADAMTS19,0.017925
ADAMTS2,-0.031217
ADAMTS20,-0.1984
ADAMTS3,0.23295
ADAMTS4,-0.25388
ADAMTS5,-0.11569
ADAMTS6,-0.1165
ADAMTS7,-0.15001
ADAMTS8,0.092223
ADAMTS9,-0.27175
ADAMTSL1,-0.058501
ADAMTSL2,-0.30628
ADAMTSL3,0.0019006
ADAMTSL4,0.075014
ADAMTSL5,0.11398
ADAP1,-0.0017916
ADAP2,-0.077677
ADAR,-0.29273
ADARB1,0.0072941
ADARB2,-0.079924
ADAT1,0.2004
ADAT2,0.069418
ADAT3,0.081329
ADCK1,0.13136
ADCK2,0.023921
ADCK5,-0.056576
ADCY1,-0.0082127
ADCY10,-0.029388
ADCY2,-0.15073
ADCY4,-0.14958
ADCY5,-0.26786
ADCY6,-0.29347
ADCY7,0.25515
