Gene,Score
A1BG,-0.647879494
A1CF,-0.35231580100000004
A2M,-1.35460326
A2ML1,-0.8824874220000001
A4GALT,-0.691250024
A4GNT,-0.37294155
AAAS,-1.449668986
AACS,-0.41599072600000003
AADAC,-0.524600222
AADACL2,-0.442704934
AADACL3,-3.3574433910000003
AADACL4,-0.33508799699999997
AADAT,-0.995803682
AAED1,-0.641227153
AAGAB,-0.05953179
AAK1,-0.322387378
AAMDC,-1.334332151
AAMP,-0.35832675799999997
AANAT,-0.609301426
AAR2,-0.413835981
AARD,-0.358906729
AARS,-0.328045942
AARS2,-1.352713544
AARSD1,-0.719351195
AASDH,-0.6913144240000001
AASDHPPT,-0.167244759
AASS,-0.479663561
AATF,-2.186532873
AATK,-1.108057425
ABAT,-0.6004476910000001
ABCA1,-0.51666189
ABCA10,-0.698216287
ABCA12,-0.457920758
ABCA13,-0.475795112
ABCA2,-1.158577418
ABCA3,-0.21133955100000001
ABCA4,-0.535990958
ABCA5,-0.747157992
ABCA6,-0.546338064
ABCA7,-0.542467592
ABCA8,-0.623867223
ABCA9,-1.606849109
ABCB1,-0.34580901799999997
ABCB10,-0.13341959
ABCB11,-0.32496998899999996
ABCB4,-0.655356045
ABCB5,-0.609050541
ABCB6,-0.581868563
ABCB7,-1.145034318
ABCB8,-0.517018463
ABCB9,-0.411345089
ABCC1,-2.22098846
ABCC10,-0.498231789
ABCC11,-0.9337187790000001
ABCC12,-0.489116041
ABCC2,-0.29099049
ABCC3,-1.05497586
ABCC4,-0.720972967
ABCC5,-0.287271367
ABCC6,-0.791512697
ABCC8,-0.67495396
ABCC9,-0.965927482
ABCD1,-0.446315959
ABCD2,-1.276400345
ABCD3,-0.276723622
ABCD4,-1.094286905
ABCE1,-0.904572501
ABCF1,-0.218004421
ABCF2,-1.153512036
ABCF3,-0.987940322
ABCG1,-1.7172016509999999
ABCG2,-0.839423313
ABCG4,-0.418135369
ABCG5,-0.850077443
ABCG8,-2.34518598
ABHD1,-1.6084337
ABHD10,-1.3691074380000001
ABHD11,-0.783770654
ABHD12,-0.791095186
ABHD12B,-0.410815451
ABHD13,-0.818078183
ABHD14A,-2.046913378
ABHD14B,-0.6283653889999999
ABHD15,-0.8747378690000001
ABHD16A,-1.0997259129999999
ABHD16B,-1.035320415
ABHD17A,-0.956292768
ABHD17B,-0.36421093600000004
ABHD17C,-1.796760159
ABHD2,-0.784745305
ABHD3,-0.23891837600000002
ABHD4,-0.7437531190000001
ABHD5,-0.348930251
ABHD6,-2.315390995
ABHD8,-0.442561899
ABI1,-0.44020798299999997
ABI2,-0.350505539
ABI3,-0.18754147399999999
ABI3BP,-1.044993707
ABL1,-0.9510241840000001
ABL2,-0.33059518
ABLIM1,-1.2745888779999999
ABLIM2,-0.891368319
ABLIM3,-1.050982845
ABO,-0.214325303
ABR,-0.242595418
ABRA,-0.213723146
ABRACL,-0.7335838109999999
ABT1,-0.880344432
ABTB1,-0.089213813
ABTB2,-0.960493887
ACAA1,-0.771163915
ACAA2,-0.772319942
ACACA,-1.273217175
ACACB,-0.808605935
ACAD10,-0.638606609
ACAD11,-2.7222749680000002
ACAD8,-0.544635403
ACAD9,-0.21898333899999997
ACADL,-0.309844328
ACADM,-0.6597568970000001
ACADS,-0.951317987
ACADSB,-1.287144758
ACADVL,-1.558544479
ACAN,-0.784322072
ACAP1,-1.053169025
ACAP2,-0.459062377
ACAP3,-1.312961932
ACAT1,-0.40490039899999997
ACAT2,-0.259117288
ACBD3,-0.314583903
ACBD4,-0.470330565
ACBD5,-3.268278365
ACBD6,-0.561996989
ACBD7,-1.53666415
ACCS,-1.488236809
ACCSL,-2.01557179
ACD,-0.987764205
ACE,-1.415183747
ACE2,-1.129684023
ACER1,-0.644552865
ACER2,-0.25274052
ACER3,-1.434051786
ACHE,-0.916541277
ACIN1,-0.7602771770000001
ACKR1,-0.9212408459999999
ACKR2,-1.726556966
ACKR3,-1.083501465
ACKR4,-0.552733092
ACLY,-0.675595224
ACMSD,-0.984904737
ACO1,-0.10358063199999999
ACO2,-2.612048487
ACOT1,-0.654722705
ACOT11,-0.198382668
ACOT12,-1.21771529
ACOT13,-0.94206887
